Sito;Citta;0;1;2;3;4;5;
 sede op, CENTRO OPERATIVO MIRABELLO ; MIRABELLO - TERRE DEL RENO;x;x;x;x;x;x;
 sede op, CDR SANT\'AGOSTINO ; SANT\'AGOSTINO - TERRE DEL RENO;x;;x;x;;x;
 sede op, CDR VIGARANO MAINARDA ; VIGARANO MAINARDA;;;;x;;x;
 sede op, CDR MIRABELLO ; MIRABELLO - TERRE DEL RENO;;x;;;x;x;
 sede op, CDR BONDENO ; BONDENO;x;x;;x;;x;
 sede op, CENTRO OPERATIVO BONDENO  ; BONDENO;x;x;x;x;x;x;
 sede op, CDR SCORTICHINO ; SCORTICHINO - BONDENO;x;;;;x;;
 sede op, CDR CENTO ; CENTO;x;x;x;x;x;x;
 sede op, CDR POGGIO RENATICO ; POGGIO RENATICO;;;x;;x;x;
 Sede op, CDR BOSCO MESOLA ; BOSCO MESOLA;x;;x;;;x;
 Sede op, CDR DI ALBERONE (Riva del Po); ALBERONE;x;;;;x;;
 sede op, CDR COPPARO ; COPPARO;;x;;x;;x;
 sede op, CDR TRESIGALLO ; TRESIGALLO - TRESIGNANA;;x;;;x;;
 sede op, CDR MASSA FISCAGLIA ; MASSA FISCAGLIA - FISCAGLIA;x;;x;;x;;
 sede op, CDR OSTELLATO ; OSTELLATO;;;x;;;x;
 sede op, CDR MIGLIARO ; MIGLIARO - FISCAGLIA;;x;;x;;x;
 sede op, CENTRO OPERATIVO SUD ; SAN GIOVANNI D\'OSTELLATO;x;x;x;x;x;x;
 sede op, CDR LAGOSANTO ; LAGOSANTO;x;;;x;;x;
 sede op, CENTRO OPERATIVO NORD; JOLANDA DI SAVOIA;x;x;x;x;x;x;
 sede op, ISOLA ECOLOGICA INTERRATA PORTOMAGGIORE ; PORTOMAGGIORE;x;x;x;x;x;x;
 sede op, CDR PORTOMAGGIORE ; PORTOMAGGIORE;;x;;x;;x;
 sede op, CDR VOGHIERA ; VOGHIERA;x;;x;;;x;
